x1,y1,x2,y2
559.652099609375, 368.2476501464844, 746.59716796875, 578.4678344726562
560.4896240234375, 369.62091064453125, 747.6580200195312, 580.03271484375
561.18798828125, 369.7903137207031, 748.591796875, 580.2047119140625
561.18798828125, 369.7903137207031, 748.591796875, 580.2047119140625
561.18798828125, 369.7903137207031, 748.591796875, 580.2047119140625
561.1884765625, 370.156982421875, 748.609375, 580.4928588867188
560.7701416015625, 370.8836975097656, 748.4556884765625, 581.1041259765625
560.7001953125, 371.4109191894531, 748.4539794921875, 581.4755859375
560.7393188476562, 371.5115051269531, 748.413818359375, 581.6271362304688
560.7393188476562, 371.5115051269531, 748.413818359375, 581.6271362304688
560.7471923828125, 371.85107421875, 748.4819946289062, 581.802734375
561.21923828125, 371.9721984863281, 749.0672607421875, 581.6819458007812
561.5950317382812, 372.09722900390625, 749.49853515625, 581.6476440429688
561.790771484375, 371.9227600097656, 749.9056396484375, 581.553955078125
561.790771484375, 371.9227600097656, 749.9056396484375, 581.553955078125
561.9698486328125, 372.035888671875, 749.9676513671875, 581.5457763671875
561.9698486328125, 372.035888671875, 749.9676513671875, 581.5457763671875
561.5438232421875, 372.83636474609375, 749.4772338867188, 582.4934692382812
561.570556640625, 372.8424987792969, 749.5791625976562, 582.46826171875
561.570556640625, 372.8424987792969, 749.5791625976562, 582.46826171875
561.5977783203125, 372.49639892578125, 749.9605712890625, 581.7156982421875
561.7462158203125, 371.9046630859375, 750.3521728515625, 580.9051513671875
561.8049926757812, 371.6089172363281, 750.4322509765625, 580.6240234375
562.513671875, 371.3345642089844, 750.5036010742188, 580.4962768554688
562.513671875, 371.3345642089844, 750.5036010742188, 580.4962768554688
562.6004638671875, 370.9278259277344, 750.667724609375, 580.2857055664062
563.5972900390625, 369.77520751953125, 751.579833984375, 579.1876831054688
564.5481567382812, 369.3272399902344, 752.567138671875, 578.488525390625
565.353271484375, 368.83465576171875, 753.584716796875, 578.06591796875
565.353271484375, 368.83465576171875, 753.584716796875, 578.06591796875
565.58837890625, 368.735595703125, 754.0888061523438, 577.6483154296875
565.837158203125, 368.6170349121094, 754.4970092773438, 577.464599609375
565.6165771484375, 368.8379821777344, 754.1009521484375, 577.58544921875
565.3223876953125, 368.95440673828125, 753.611083984375, 577.9268798828125
565.3223876953125, 368.95440673828125, 753.611083984375, 577.9268798828125
565.3155517578125, 368.93450927734375, 753.6436767578125, 577.6857299804688
565.3155517578125, 368.93450927734375, 753.6436767578125, 577.6857299804688
565.5372924804688, 368.58837890625, 753.8109130859375, 577.497802734375
567.01171875, 368.3876953125, 755.4722290039062, 577.203369140625
567.01171875, 368.3876953125, 755.4722290039062, 577.203369140625
567.4237670898438, 368.4317932128906, 755.5777587890625, 577.4066772460938
567.4237670898438, 368.4317932128906, 755.5777587890625, 577.4066772460938
567.5881958007812, 368.6616516113281, 755.9605102539062, 577.4732666015625
567.597412109375, 368.4085693359375, 755.8590087890625, 577.40966796875
567.4335327148438, 368.02203369140625, 755.5032348632812, 576.7154541015625
567.3665161132812, 367.7780456542969, 755.4683227539062, 576.6019897460938
567.3665161132812, 367.7780456542969, 755.4683227539062, 576.6019897460938
566.5799560546875, 368.0465393066406, 754.7373046875, 576.830078125
565.27001953125, 368.3892822265625, 753.1231689453125, 577.4945678710938
561.1215209960938, 368.7041320800781, 748.6116333007812, 578.46630859375
558.743896484375, 368.80517578125, 746.3358764648438, 578.6021118164062
558.743896484375, 368.80517578125, 746.3358764648438, 578.6021118164062
558.3836669921875, 369.12078857421875, 745.5914306640625, 579.0224609375
558.9989013671875, 369.2873840332031, 746.52880859375, 578.8543701171875
558.9989013671875, 369.2873840332031, 746.52880859375, 578.8543701171875
559.8365478515625, 368.96441650390625, 747.5050659179688, 578.533203125
560.8424682617188, 369.1026306152344, 748.5975341796875, 578.566650390625
561.1744384765625, 369.242919921875, 748.6806030273438, 578.65283203125
560.767822265625, 369.53662109375, 748.6260986328125, 578.8519287109375
560.767822265625, 369.53662109375, 748.6260986328125, 578.8519287109375
560.7802124023438, 369.55828857421875, 748.6470336914062, 578.9865112304688
561.0457763671875, 369.62884521484375, 748.7716064453125, 579.15966796875
560.9995727539062, 370.086181640625, 748.6431884765625, 579.4521484375
560.713134765625, 370.421875, 748.493896484375, 579.51708984375
560.713134765625, 370.421875, 748.493896484375, 579.51708984375
560.5892333984375, 370.7508544921875, 748.076171875, 580.029052734375
560.5892333984375, 370.7508544921875, 748.076171875, 580.029052734375
560.6214599609375, 370.95916748046875, 748.1141357421875, 580.1431274414062
562.093505859375, 371.2354736328125, 749.3656005859375, 580.1907958984375
566.5660400390625, 372.7037658691406, 754.2105712890625, 580.7688598632812
570.9041748046875, 374.0704040527344, 758.6083984375, 581.4981689453125
570.9041748046875, 374.0704040527344, 758.6083984375, 581.4981689453125
572.7559814453125, 374.6356506347656, 760.70068359375, 581.595947265625
576.6055297851562, 376.38031005859375, 764.4517822265625, 582.5350341796875
585.267578125, 381.901611328125, 771.6522216796875, 586.469970703125
594.101806640625, 387.3793640136719, 778.666748046875, 590.8251953125
594.101806640625, 387.3793640136719, 778.666748046875, 590.8251953125
603.6825561523438, 393.450439453125, 786.7635498046875, 596.1641235351562
609.1876831054688, 395.93975830078125, 790.7742919921875, 598.572998046875
619.3622436523438, 410.56341552734375, 795.7642822265625, 603.69921875
603.9891967773438, 423.54998779296875, 779.1492919921875, 623.737548828125
603.9891967773438, 423.54998779296875, 779.1492919921875, 623.737548828125
606.6632080078125, 433.03656005859375, 776.6090698242188, 632.3986206054688
