x1,y1,x2,y2
559.652099609375, 368.2476501464844, 746.59716796875, 578.4678344726562
558.22216796875, 367.4790954589844, 744.6375732421875, 575.2904052734375
561.7200927734375, 367.1651916503906, 745.661376953125, 579.052734375
560.4014282226562, 369.3620300292969, 746.6942138671875, 576.4575805664062
559.73876953125, 367.6895751953125, 742.544921875, 578.4315185546875
558.8972778320312, 367.6802978515625, 742.1527099609375, 579.4449462890625
558.7154541015625, 368.4158935546875, 742.5108032226562, 579.8427124023438
566.2974243164062, 370.04638671875, 743.1973876953125, 579.8705444335938
559.6383056640625, 372.326904296875, 742.6436767578125, 577.5338134765625
557.93115234375, 369.33465576171875, 742.3936767578125, 581.7430419921875
558.0816650390625, 371.0938720703125, 743.1826171875, 578.0191040039062
559.7374267578125, 370.67926025390625, 742.6983032226562, 580.5308837890625
560.89990234375, 369.9540100097656, 744.5830688476562, 581.2083740234375
566.966064453125, 370.9327392578125, 743.62158203125, 581.522705078125
560.787841796875, 370.988525390625, 743.42919921875, 579.45458984375
560.2241821289062, 369.2342529296875, 745.845947265625, 576.7728881835938
559.2450561523438, 371.3160095214844, 745.8062133789062, 578.679931640625
559.4112548828125, 371.9967041015625, 746.5951538085938, 580.4708251953125
560.2730712890625, 371.11956787109375, 747.9298095703125, 578.8203125
560.322998046875, 370.49737548828125, 748.2677001953125, 578.7822875976562
561.8802490234375, 371.0862731933594, 748.59228515625, 578.8333740234375
566.6270751953125, 370.85614013671875, 748.3958129882812, 579.0215454101562
560.3557739257812, 371.2343444824219, 748.406982421875, 579.737060546875
560.2274169921875, 370.7430419921875, 747.0145874023438, 579.4549560546875
561.421630859375, 371.52386474609375, 747.9219970703125, 580.3514404296875
561.3551635742188, 368.68768310546875, 749.45703125, 577.0013427734375
561.3335571289062, 371.8767395019531, 749.6644287109375, 575.8169555664062
563.2061157226562, 369.857666015625, 749.5968017578125, 577.7344970703125
563.296630859375, 367.975341796875, 750.6773681640625, 576.174072265625
564.2576904296875, 367.14178466796875, 751.8798828125, 574.80029296875
564.0953369140625, 365.82781982421875, 752.6083984375, 574.923583984375
563.8193359375, 369.26690673828125, 752.6634521484375, 574.4535522460938
567.555419921875, 365.96392822265625, 752.9022216796875, 573.7330322265625
565.9592895507812, 366.7130126953125, 748.422119140625, 576.242431640625
565.0020141601562, 367.78778076171875, 748.9327392578125, 573.2117309570312
565.1250610351562, 368.59228515625, 750.341796875, 574.0750732421875
563.531494140625, 366.71160888671875, 751.8277587890625, 575.3966064453125
562.5249633789062, 369.76446533203125, 752.0045776367188, 575.9090576171875
565.4157104492188, 366.97283935546875, 752.8916015625, 574.7609252929688
565.8495483398438, 366.3629455566406, 753.7193603515625, 574.79638671875
567.217529296875, 365.9563293457031, 754.0745239257812, 573.0323486328125
565.6788330078125, 368.0827331542969, 754.0835571289062, 572.7939453125
569.9713134765625, 365.93505859375, 754.4465942382812, 573.8224487304688
566.6776123046875, 368.0448913574219, 750.2374877929688, 573.395751953125
564.38525390625, 366.334228515625, 749.94189453125, 573.7506103515625
568.8607177734375, 365.13055419921875, 751.4613037109375, 573.7706298828125
567.2757568359375, 368.4034729003906, 751.3603515625, 573.5206298828125
565.898193359375, 365.4570007324219, 747.2362670898438, 573.837158203125
564.9853515625, 368.91943359375, 749.3905029296875, 573.5208129882812
559.7921752929688, 366.00189208984375, 743.9158325195312, 576.81103515625
558.8629150390625, 366.4166259765625, 742.48388671875, 576.7784423828125
556.45556640625, 366.02691650390625, 744.8477172851562, 574.374755859375
555.12939453125, 370.01348876953125, 744.476806640625, 575.04833984375
558.3038330078125, 368.484130859375, 744.4530029296875, 574.7208251953125
557.5751953125, 366.6331787109375, 745.0870361328125, 575.351806640625
556.5062255859375, 368.18780517578125, 745.1285400390625, 578.1441650390625
560.1397094726562, 366.304931640625, 746.198974609375, 573.7745361328125
559.50537109375, 368.1429443359375, 747.0383911132812, 575.733154296875
557.6903076171875, 367.809326171875, 746.9635009765625, 577.2637939453125
565.8094482421875, 368.8264465332031, 747.3214721679688, 577.097900390625
559.5860595703125, 369.2993469238281, 746.978271484375, 577.1136474609375
558.8069458007812, 366.6890869140625, 747.3353881835938, 575.9857788085938
559.2122802734375, 370.3633117675781, 747.559814453125, 575.6624755859375
559.8953857421875, 367.95928955078125, 746.8947143554688, 575.1553955078125
558.357177734375, 369.00506591796875, 746.7196044921875, 577.815673828125
558.399169921875, 368.93658447265625, 741.951416015625, 577.3140869140625
560.20263671875, 368.4829406738281, 745.9495849609375, 574.6702270507812
559.4283447265625, 371.71484375, 746.0408935546875, 574.7896728515625
559.9295654296875, 371.526611328125, 748.548828125, 575.9085083007812
567.3084106445312, 371.4179992675781, 749.066650390625, 576.498046875
571.965576171875, 371.97906494140625, 753.8228759765625, 579.962890625
569.6450805664062, 374.13568115234375, 754.0406494140625, 578.519287109375
573.7000732421875, 371.5249938964844, 758.5313720703125, 578.019775390625
576.9203491210938, 373.49420166015625, 759.5150756835938, 577.6519775390625
584.6951904296875, 381.87060546875, 769.3781127929688, 583.4706420898438
594.2857666015625, 385.7051696777344, 775.232177734375, 587.3453369140625
594.0494384765625, 385.6917419433594, 776.4178466796875, 587.8836669921875
603.4909057617188, 391.96478271484375, 782.587890625, 592.2003173828125
607.4326171875, 395.6890869140625, 788.5819091796875, 593.678955078125
618.8593139648438, 406.53448486328125, 793.2000122070312, 598.5599975585938
602.9544067382812, 420.8934631347656, 776.8980102539062, 621.1124267578125
604.7239379882812, 421.230712890625, 775.72802734375, 621.7652587890625
